Time,Channel A,Channel H
(ms),(V),(V)

-96.76206670,1.65791700,4.87242100
-96.75206670,1.65791700,4.87242100
-96.74206670,1.65791700,4.86723200
-96.73206670,1.65791700,4.87242100
-96.72206670,1.65791700,4.87242100
-96.71206670,1.66066400,4.87791500
-96.70206670,1.65532300,4.87242100
-96.69206671,1.65791700,4.86723200
-96.68206671,1.65791700,4.86723200
-96.67206671,1.66066400,4.87242100
-96.66206671,1.65791700,4.87791500
-96.65206671,1.65791700,4.87791500
-96.64206671,1.65791700,4.86723200
-96.63206671,1.65791700,4.87791500
-96.62206671,1.65791700,4.87242100
-96.61206671,1.65791700,4.86723200
-96.60206671,1.65791700,4.87242100
-96.59206671,1.65791700,4.87791500
-96.58206671,1.65791700,4.87242100
-96.57206671,1.65532300,4.87242100
-96.56206671,1.65791700,4.87791500
-96.55206671,1.65532300,4.87791500
-96.54206671,1.65791700,4.87791500
-96.53206671,1.65532300,4.87242100
-96.52206671,1.65791700,4.87242100
-96.51206671,1.65791700,4.87791500
-96.50206671,1.65532300,4.87242100
-96.49206671,1.65532300,4.86723200
-96.48206671,1.65532300,4.88340900
-96.47206671,1.65791700,4.86723200
-96.46206671,1.65532300,4.87791500
-96.45206671,1.65791700,4.87242100
-96.44206671,1.65791700,4.86723200
-96.43206671,1.65532300,4.87242100
-96.42206671,1.65532300,4.86723200
-96.41206671,1.65791700,4.88340900
-96.40206671,1.65791700,4.87242100
-96.39206671,1.65532300,4.87791500
-96.38206671,1.65532300,4.87242100
-96.37206671,1.65532300,4.87791500
-96.36206671,1.65257600,4.87791500
-96.35206671,1.65791700,4.87791500
-96.34206671,1.65532300,4.89409100
-96.33206671,1.65791700,4.87791500
-96.32206671,1.65791700,4.87242100
-96.31206671,1.65791700,4.87242100
-96.30206671,1.65791700,4.87242100
-96.29206672,1.65791700,4.88340900
-96.28206672,1.65791700,4.87791500
-96.27206672,1.65532300,4.86723200
-96.26206672,1.65532300,4.87242100
-96.25206672,1.65791700,4.88859700
-96.24206672,1.65791700,4.88340900
-96.23206672,1.65532300,4.87242100
-96.22206672,1.65791700,4.86723200
-96.21206672,1.65791700,4.87242100
-96.20206672,1.65791700,4.88340900
-96.19206672,1.65532300,4.86723200
-96.18206672,1.65532300,4.86723200
-96.17206672,1.65532300,4.88340900
-96.16206672,1.65257600,4.86723200
-96.15206672,1.65532300,4.87242100
-96.14206672,1.65532300,4.88340900
-96.13206672,1.66066400,4.87791500
-96.12206672,1.65532300,4.87791500
-96.11206672,1.65532300,4.86173800
-96.10206672,1.65791700,4.87791500
-96.09206672,1.65791700,4.86723200
-96.08206672,1.65532300,4.86723200
-96.07206672,1.65791700,4.87791500
-96.06206672,1.65532300,4.87242100
-96.05206672,1.65791700,4.88340900
-96.04206672,1.65791700,4.86173800
-96.03206672,1.65791700,4.88340900
-96.02206672,1.65791700,4.87242100
-96.01206672,1.65532300,4.87791500
-96.00206672,1.65532300,4.87242100
-95.99206672,1.65791700,4.87791500
-95.98206672,1.65532300,4.87791500
-95.97206672,1.65532300,4.87791500
-95.96206672,1.65532300,4.87242100
-95.95206672,1.65532300,4.87791500
-95.94206672,1.65791700,4.87791500
-95.93206672,1.65257600,4.88340900
-95.92206672,1.65532300,4.87242100
-95.91206672,1.65791700,4.86723200
-95.90206673,1.65532300,4.87242100
-95.89206673,1.65532300,4.87791500
-95.88206673,1.65532300,4.88340900
-95.87206673,1.65532300,4.87242100
-95.86206673,1.65791700,4.87242100
-95.85206673,1.65532300,4.88340900
-95.84206673,1.65257600,4.87242100
-95.83206673,1.65532300,4.87242100
-95.82206673,1.65791700,4.87242100
-95.81206673,1.65791700,4.87242100
-95.80206673,1.65532300,4.87791500
-95.79206673,1.65791700,4.86723200
-95.78206673,1.65791700,4.87242100
-95.77206673,1.65532300,4.87791500
-95.76206673,1.65791700,4.87242100
-95.75206673,1.65791700,4.87791500
-95.74206673,1.65791700,4.88859700
-95.73206673,1.65532300,4.86723200
-95.72206673,1.66066400,4.87791500
-95.71206673,1.65791700,4.87242100
-95.70206673,1.65791700,4.86723200
-95.69206673,1.66066400,4.87791500
-95.68206673,1.65791700,4.87242100
-95.67206673,1.66066400,4.86173800
-95.66206673,1.65791700,4.86173800
-95.65206673,1.65791700,4.86723200
-95.64206673,1.66066400,4.87791500
-95.63206673,1.66066400,4.87242100
-95.62206673,1.65791700,4.87791500
-95.61206673,1.65532300,4.87791500
-95.60206673,1.65791700,4.87242100
-95.59206673,1.65791700,4.87242100
-95.58206673,1.66066400,4.87242100
-95.57206673,1.65791700,4.86723200
-95.56206673,1.65791700,4.88340900
-95.55206673,1.66066400,4.87791500
-95.54206673,1.65532300,4.87791500
-95.53206673,1.66066400,4.86173800
-95.52206673,1.65791700,4.88340900
-95.51206673,1.65532300,4.87791500
-95.50206674,1.65791700,4.87242100
-95.49206674,1.65791700,4.87242100
-95.48206674,1.65791700,4.87242100
-95.47206674,1.65791700,4.86723200
-95.46206674,1.65532300,4.86723200
-95.45206674,1.65532300,4.88340900
-95.44206674,1.65791700,4.86723200
-95.43206674,1.65532300,4.86723200
-95.42206674,1.65532300,4.87791500
-95.41206674,1.65791700,4.88340900
-95.40206674,1.65532300,4.86723200
-95.39206674,1.65791700,4.86723200
-95.38206674,1.65532300,4.87791500
-95.37206674,1.65791700,4.87242100
-95.36206674,1.65791700,4.87791500
-95.35206674,1.65532300,4.87242100
-95.34206674,1.65791700,4.86723200
-95.33206674,1.65532300,4.87242100
-95.32206674,1.65532300,4.87242100
-95.31206674,1.65791700,4.86723200
-95.30206674,1.65791700,4.87791500
-95.29206674,1.66066400,4.87791500
-95.28206674,1.65532300,4.86173800
-95.27206674,1.65791700,4.87791500
-95.26206674,1.65791700,4.87242100
-95.25206674,1.65791700,4.87242100
-95.24206674,1.65791700,4.88340900
-95.23206674,1.65791700,4.86173800
-95.22206674,1.66066400,4.87791500
-95.21206674,1.65791700,4.87791500
-95.20206674,1.65791700,4.88859700
-95.19206674,1.65791700,4.88340900
-95.18206674,1.66066400,4.87791500
-95.17206674,1.65532300,4.87791500
-95.16206674,1.65532300,4.87791500
-95.15206674,1.65791700,4.87242100
-95.14206674,1.65532300,4.88340900
-95.13206674,1.65532300,4.87242100
-95.12206674,1.65791700,4.87791500
-95.11206675,1.65532300,4.87791500
-95.10206675,1.65791700,4.87791500
-95.09206675,1.65257600,4.87242100
-95.08206675,1.65532300,4.87242100
