Time,Channel A,Channel H
(ms),(V),(V)

-98.12322896,1.60053700,4.87150500
-98.11322896,1.60313100,4.87150500
-98.10322896,1.60313100,4.86601200
-98.09322896,1.60053700,4.87150500
-98.08322896,1.59779000,4.86601200
-98.07322896,1.60053700,4.87669400
-98.06322896,1.60313100,4.87669400
-98.05322896,1.60053700,4.87150500
-98.04322896,1.60053700,4.87150500
-98.03322896,1.60313100,4.86601200
-98.02322896,1.60313100,4.87150500
-98.01322896,1.60313100,4.87150500
-98.00322896,1.60053700,4.87669400
-97.99322896,1.60313100,4.87150500
-97.98322896,1.60313100,4.87669400
-97.97322896,1.60053700,4.87669400
-97.96322896,1.60587800,4.86601200
-97.95322896,1.60313100,4.87150500
-97.94322896,1.60313100,4.87669400
-97.93322896,1.60053700,4.86601200
-97.92322896,1.60313100,4.87669400
-97.91322896,1.60053700,4.88218800
-97.90322897,1.60313100,4.87150500
-97.89322897,1.60053700,4.87669400
-97.88322897,1.60053700,4.87669400
-97.87322897,1.60053700,4.87150500
-97.86322897,1.60053700,4.86601200
-97.85322897,1.60053700,4.86601200
-97.84322897,1.60313100,4.86601200
-97.83322897,1.60313100,4.86601200
-97.82322897,1.60053700,4.87669400
-97.81322897,1.60313100,4.86601200
-97.80322897,1.60313100,4.86601200
-97.79322897,1.60053700,4.86601200
-97.78322897,1.60053700,4.88218800
-97.77322897,1.60053700,4.87669400
-97.76322897,1.60053700,4.86601200
-97.75322897,1.60313100,4.86082300
-97.74322897,1.60053700,4.87669400
-97.73322897,1.60053700,4.87669400
-97.72322897,1.60053700,4.87669400
-97.71322897,1.60053700,4.86082300
-97.70322897,1.60053700,4.86601200
-97.69322897,1.60053700,4.87150500
-97.68322897,1.60313100,4.86601200
-97.67322897,1.60053700,4.86601200
-97.66322897,1.60313100,4.87669400
-97.65322897,1.60313100,4.87669400
-97.64322897,1.60313100,4.87150500
-97.63322897,1.60053700,4.87150500
-97.62322897,1.60313100,4.87669400
-97.61322897,1.60313100,4.87669400
-97.60322897,1.60313100,4.86601200
-97.59322897,1.60313100,4.86601200
-97.58322897,1.60313100,4.87669400
-97.57322897,1.60313100,4.86601200
-97.56322897,1.60053700,4.86601200
-97.55322897,1.60053700,4.87669400
-97.54322897,1.60053700,4.87150500
-97.53322897,1.60053700,4.87150500
-97.52322897,1.60313100,4.87150500
-97.51322898,1.60313100,4.87150500
-97.50322898,1.60313100,4.86601200
-97.49322898,1.60053700,4.87669400
-97.48322898,1.60587800,4.86601200
-97.47322898,1.60313100,4.86601200
-97.46322898,1.60313100,4.87669400
-97.45322898,1.60053700,4.86601200
-97.44322898,1.60313100,4.87669400
-97.43322898,1.60313100,4.87150500
-97.42322898,1.60313100,4.86601200
-97.41322898,1.60053700,4.87150500
-97.40322898,1.60053700,4.88218800
-97.39322898,1.60313100,4.86601200
-97.38322898,1.60313100,4.86601200
-97.37322898,1.60053700,4.86082300
-97.36322898,1.60313100,4.87150500
-97.35322898,1.60313100,4.87150500
-97.34322898,1.60053700,4.86601200
-97.33322898,1.60053700,4.87150500
-97.32322898,1.60313100,4.87150500
-97.31322898,1.60313100,4.88218800
-97.30322898,1.60053700,4.87669400
-97.29322898,1.60313100,4.87669400
-97.28322898,1.60313100,4.87669400
-97.27322898,1.60313100,4.86082300
-97.26322898,1.60313100,4.86601200
-97.25322898,1.60313100,4.87150500
-97.24322898,1.60053700,4.86601200
-97.23322898,1.60053700,4.86601200
-97.22322898,1.60053700,4.86082300
-97.21322898,1.60313100,4.87150500
-97.20322898,1.60053700,4.87150500
-97.19322898,1.60313100,4.86601200
-97.18322898,1.60053700,4.87150500
-97.17322898,1.60313100,4.86601200
-97.16322898,1.60587800,4.87669400
-97.15322898,1.60053700,4.87150500
-97.14322898,1.60053700,4.87150500
-97.13322898,1.60053700,4.87669400
-97.12322898,1.60053700,4.86082300
-97.11322899,1.60313100,4.86601200
-97.10322899,1.60313100,4.87150500
-97.09322899,1.60053700,4.86601200
-97.08322899,1.60313100,4.86601200
-97.07322899,1.60313100,4.86082300
-97.06322899,1.60053700,4.87669400
-97.05322899,1.60053700,4.87150500
-97.04322899,1.60053700,4.86082300
-97.03322899,1.60313100,4.87669400
-97.02322899,1.60313100,4.86601200
-97.01322899,1.60313100,4.86601200
-97.00322899,1.60313100,4.88768100
-96.99322899,1.60053700,4.88218800
-96.98322899,1.60053700,4.87669400
-96.97322899,1.60313100,4.87150500
-96.96322899,1.60053700,4.87669400
-96.95322899,1.60053700,4.87150500
-96.94322899,1.60053700,4.87669400
-96.93322899,1.60053700,4.87150500
-96.92322899,1.60053700,4.87669400
-96.91322899,1.60313100,4.88218800
-96.90322899,1.60053700,4.87669400
-96.89322899,1.60313100,4.87669400
-96.88322899,1.60313100,4.87150500
-96.87322899,1.60313100,4.87669400
-96.86322899,1.60053700,4.87669400
-96.85322899,1.60313100,4.87150500
-96.84322899,1.60313100,4.87150500
-96.83322899,1.60313100,4.87150500
-96.82322899,1.60053700,4.87669400
-96.81322899,1.60053700,4.86601200
-96.80322899,1.60053700,4.86601200
-96.79322899,1.60313100,4.87669400
-96.78322899,1.60313100,4.86601200
-96.77322899,1.60313100,4.87669400
-96.76322899,1.60313100,4.87150500
-96.75322899,1.60053700,4.87150500
-96.74322899,1.60053700,4.87150500
-96.73322899,1.60313100,4.87669400
-96.72322899,1.60053700,4.86601200
-96.71322900,1.60053700,4.87150500
-96.70322900,1.60587800,4.87150500
-96.69322900,1.60053700,4.88218800
-96.68322900,1.60313100,4.87669400
-96.67322900,1.60053700,4.87150500
-96.66322900,1.60313100,4.87150500
-96.65322900,1.60313100,4.87150500
-96.64322900,1.60053700,4.87669400
-96.63322900,1.60313100,4.87150500
-96.62322900,1.60313100,4.87150500
-96.61322900,1.60313100,4.87150500
-96.60322900,1.60313100,4.87150500
-96.59322900,1.60313100,4.87669400
-96.58322900,1.60313100,4.87669400
-96.57322900,1.60313100,4.87669400
-96.56322900,1.60313100,4.87669400
-96.55322900,1.60313100,4.87669400
-96.54322900,1.60053700,4.87669400
-96.53322900,1.60053700,4.86082300
-96.52322900,1.60313100,4.86601200
-96.51322900,1.60313100,4.87150500
-96.50322900,1.60053700,4.86601200
-96.49322900,1.60053700,4.87150500
-96.48322900,1.60313100,4.87669400
-96.47322900,1.60313100,4.87150500
-96.46322900,1.60313100,4.86601200
-96.45322900,1.60053700,4.87150500
-96.44322900,1.60587800,4.86082300
-96.43322900,1.60053700,4.86082300
-96.42322900,1.60053700,4.87150500
-96.41322900,1.60313100,4.87150500
-96.40322900,1.60313100,4.88218800
-96.39322900,1.60053700,4.86601200
-96.38322900,1.60053700,4.86082300
-96.37322900,1.60313100,4.87669400
-96.36322900,1.60053700,4.86601200
-96.35322900,1.60313100,4.86601200
-96.34322900,1.61122000,4.87150500
-96.33322900,1.60053700,4.86082300
-96.32322901,1.60313100,4.87150500
-96.31322901,1.60053700,4.87150500
-96.30322901,1.60053700,4.86601200
-96.29322901,1.60053700,4.87669400
-96.28322901,1.60313100,4.87669400
-96.27322901,1.60053700,4.86601200
-96.26322901,1.60313100,4.87669400
-96.25322901,1.60313100,4.86601200
-96.24322901,1.60313100,4.87150500
-96.23322901,1.60053700,4.87669400
-96.22322901,1.60053700,4.87669400
-96.21322901,1.60313100,4.86082300
-96.20322901,1.60313100,4.87150500
-96.19322901,1.60053700,4.86601200
-96.18322901,1.60313100,4.87150500
-96.17322901,1.60313100,4.87150500
-96.16322901,1.60313100,4.87150500
-96.15322901,1.60313100,4.88768100
-96.14322901,1.60313100,4.87669400
-96.13322901,1.59779000,4.86601200
-96.12322901,1.60053700,4.87150500
-96.11322901,1.60053700,4.86601200
-96.10322901,1.60313100,4.87150500
-96.09322901,1.60313100,4.87669400
-96.08322901,1.60313100,4.87669400
-96.07322901,1.60053700,4.87150500
-96.06322901,1.60053700,4.87150500
-96.05322901,1.60053700,4.86601200
-96.04322901,1.60313100,4.87669400
-96.03322901,1.60313100,4.87150500
-96.02322901,1.60313100,4.87150500
-96.01322901,1.60053700,4.85532900
-96.00322901,1.60313100,4.87150500
-95.99322901,1.60313100,4.86601200
-95.98322901,1.60313100,4.86601200
-95.97322901,1.60313100,4.87150500
-95.96322901,1.60587800,4.87669400
-95.95322901,1.60587800,4.86601200
-95.94322901,1.60053700,4.86082300
-95.93322901,1.60313100,4.87150500
-95.92322902,1.60053700,4.87669400
-95.91322902,1.60053700,4.88218800
-95.90322902,1.60053700,4.86082300
-95.89322902,1.60313100,4.87150500
-95.88322902,1.60053700,4.87150500
-95.87322902,1.60053700,4.87150500
-95.86322902,1.60053700,4.86601200
-95.85322902,1.60313100,4.88768100
-95.84322902,1.60313100,4.87669400
-95.83322902,1.60313100,4.87150500
-95.82322902,1.60053700,4.87150500
-95.81322902,1.60313100,4.86601200
-95.80322902,1.60313100,4.87669400
-95.79322902,1.60313100,4.86601200
-95.78322902,1.60053700,4.86082300
-95.77322902,1.60313100,4.87669400
-95.76322902,1.60313100,4.86601200
-95.75322902,1.60053700,4.86601200
-95.74322902,1.60053700,4.87669400
-95.73322902,1.60313100,4.86601200
-95.72322902,1.60053700,4.86082300
-95.71322902,1.60313100,4.87150500
-95.70322902,1.60313100,4.86082300
-95.69322902,1.60313100,4.87150500
-95.68322902,1.60313100,4.86601200
-95.67322902,1.60313100,4.87150500
-95.66322902,1.60313100,4.87150500
-95.65322902,1.60313100,4.86082300
-95.64322902,1.60313100,4.87150500
-95.63322902,1.60313100,4.87669400
-95.62322902,1.60313100,4.87150500
-95.61322902,1.60313100,4.87150500
-95.60322902,1.60053700,4.86601200
-95.59322902,1.60313100,4.87150500
-95.58322902,1.60313100,4.87669400
-95.57322902,1.60313100,4.87669400
-95.56322902,1.60313100,4.87150500
-95.55322902,1.60313100,4.87669400
-95.54322902,1.60313100,4.87150500
-95.53322903,1.60053700,4.86601200
-95.52322903,1.60313100,4.87150500
-95.51322903,1.60313100,4.87150500
-95.50322903,1.60313100,4.86601200
-95.49322903,1.60313100,4.87150500
-95.48322903,1.60313100,4.87150500
-95.47322903,1.60313100,4.87150500
-95.46322903,1.60053700,4.86601200
-95.45322903,1.60313100,4.87669400
-95.44322903,1.60313100,4.88218800
-95.43322903,1.60313100,4.86601200
-95.42322903,1.60313100,4.86082300
-95.41322903,1.60313100,4.85532900
-95.40322903,1.60313100,4.87150500
-95.39322903,1.60587800,4.87669400
-95.38322903,1.60313100,4.86601200
-95.37322903,1.60313100,4.88218800
-95.36322903,1.60313100,4.87150500
-95.35322903,1.60313100,4.86601200
-95.34322903,1.60313100,4.85532900
-95.33322903,1.60313100,4.86601200
-95.32322903,1.60053700,4.86601200
-95.31322903,1.60313100,4.87150500
-95.30322903,1.60053700,4.87150500
-95.29322903,1.60313100,4.86082300
-95.28322903,1.60313100,4.86601200
-95.27322903,1.60313100,4.87150500
-95.26322903,1.60313100,4.86601200
-95.25322903,1.60313100,4.87669400
-95.24322903,1.60053700,4.86601200
-95.23322903,1.60313100,4.87669400
-95.22322903,1.60313100,4.87669400
-95.21322903,1.60587800,4.87150500
-95.20322903,1.60313100,4.87150500
-95.19322903,1.60313100,4.87669400
-95.18322903,1.60313100,4.86601200
-95.17322903,1.60053700,4.86601200
-95.16322903,1.60313100,4.86601200
-95.15322903,1.60587800,4.87150500
-95.14322903,1.60313100,4.87669400
-95.13322904,1.60313100,4.87150500
-95.12322904,1.60313100,4.86601200
-95.11322904,1.60587800,4.87150500
-95.10322904,1.60053700,4.86601200
-95.09322904,1.60313100,4.87150500
-95.08322904,1.60313100,4.86601200
-95.07322904,1.60313100,4.87669400
-95.06322904,1.60053700,4.86601200
-95.05322904,1.60053700,4.86601200
-95.04322904,1.60313100,4.86082300
-95.03322904,1.60313100,4.87669400
-95.02322904,1.60313100,4.86082300
-95.01322904,1.60313100,4.87150500
-95.00322904,1.60313100,4.86601200
-94.99322904,1.60313100,4.87150500
-94.98322904,1.60313100,4.87669400
-94.97322904,1.60313100,4.84983500
-94.96322904,1.60053700,4.88218800
-94.95322904,1.60313100,4.86601200
-94.94322904,1.60313100,4.86601200
-94.93322904,1.60313100,4.86601200
-94.92322904,1.60313100,4.87669400
-94.91322904,1.60313100,4.87150500
-94.90322904,1.60313100,4.87150500
-94.89322904,1.60053700,4.87669400
-94.88322904,1.60313100,4.86601200
-94.87322904,1.60053700,4.87150500
-94.86322904,1.60313100,4.87150500
-94.85322904,1.60053700,4.87150500
-94.84322904,1.60053700,4.87669400
-94.83322904,1.60053700,4.87669400
-94.82322904,1.60313100,4.87150500
-94.81322904,1.60053700,4.87150500
-94.80322904,1.60053700,4.86082300
-94.79322904,1.60053700,4.87150500
-94.78322904,1.60053700,4.86601200
-94.77322904,1.60053700,4.86082300
-94.76322904,1.60053700,4.86601200
-94.75322904,1.60053700,4.87150500
-94.74322904,1.60313100,4.86082300
-94.73322905,1.60053700,4.86601200
-94.72322905,1.60313100,4.86601200
-94.71322905,1.60313100,4.87150500
-94.70322905,1.60313100,4.86601200
-94.69322905,1.60053700,4.86601200
-94.68322905,1.60313100,4.87669400
-94.67322905,1.60313100,4.87150500
-94.66322905,1.60313100,4.86601200
-94.65322905,1.60053700,4.86601200
-94.64322905,1.60313100,4.87150500
-94.63322905,1.60313100,4.87669400
-94.62322905,1.60053700,4.87150500
-94.61322905,1.60053700,4.86601200
-94.60322905,1.60053700,4.87669400
-94.59322905,1.60313100,4.87669400
-94.58322905,1.60053700,4.87150500
-94.57322905,1.60053700,4.87150500
-94.56322905,1.60053700,4.87669400
-94.55322905,1.60053700,4.87150500
-94.54322905,1.60313100,4.86082300
-94.53322905,1.60313100,4.87150500
-94.52322905,1.60587800,4.86601200
-94.51322905,1.60313100,4.87669400
-94.50322905,1.60313100,4.86601200
-94.49322905,1.60313100,4.87150500
-94.48322905,1.60053700,4.87150500
-94.47322905,1.60053700,4.86601200
-94.46322905,1.60313100,4.87150500
-94.45322905,1.60313100,4.87669400
-94.44322905,1.60313100,4.86601200
-94.43322905,1.60313100,4.86082300
-94.42322905,1.60053700,4.87669400
-94.41322905,1.60053700,4.87669400
-94.40322905,1.60053700,4.88218800
-94.39322905,1.60313100,4.86601200
-94.38322905,1.60053700,4.87669400
-94.37322905,1.60053700,4.87669400
-94.36322905,1.60313100,4.86082300
-94.35322905,1.60053700,4.88218800
-94.34322906,1.60313100,4.86601200
-94.33322906,1.60313100,4.86601200
-94.32322906,1.60053700,4.87669400
-94.31322906,1.60313100,4.87150500
-94.30322906,1.60313100,4.87150500
-94.29322906,1.60313100,4.87150500
-94.28322906,1.60053700,4.87150500
-94.27322906,1.60053700,4.87150500
-94.26322906,1.60053700,4.87150500
-94.25322906,1.60053700,4.86082300
-94.24322906,1.60053700,4.86601200
-94.23322906,1.60053700,4.87150500
-94.22322906,1.60313100,4.87150500
-94.21322906,1.60053700,4.86601200
-94.20322906,1.60313100,4.87150500
-94.19322906,1.60313100,4.87669400
-94.18322906,1.60313100,4.86601200
-94.17322906,1.60053700,4.86601200
-94.16322906,1.60313100,4.87150500
-94.15322906,1.60313100,4.87669400
-94.14322906,1.60313100,4.87150500
-94.13322906,1.60053700,4.87150500
-94.12322906,1.60587800,4.86601200
-94.11322906,1.60053700,4.87150500
-94.10322906,1.60313100,4.87669400
-94.09322906,1.60313100,4.87150500
-94.08322906,1.60313100,4.87150500
-94.07322906,1.60053700,4.87150500
-94.06322906,1.60053700,4.86601200
-94.05322906,1.60313100,4.87150500
-94.04322906,1.60313100,4.87669400
-94.03322906,1.60053700,4.88218800
-94.02322906,1.60053700,4.87150500
-94.01322906,1.60313100,4.87150500
-94.00322906,1.60053700,4.86601200
-93.99322906,1.60313100,4.86082300
-93.98322906,1.60587800,4.87669400
-93.97322906,1.60313100,4.87669400
-93.96322906,1.60313100,4.86082300
-93.95322906,1.60313100,4.87669400
-93.94322907,1.60053700,4.87150500
-93.93322907,1.60313100,4.86601200
-93.92322907,1.60053700,4.86601200
-93.91322907,1.60053700,4.84983500
-93.90322907,1.60313100,4.86082300
-93.89322907,1.60313100,4.86601200
-93.88322907,1.60313100,4.86082300
-93.87322907,1.60313100,4.86601200
-93.86322907,1.60313100,4.86601200
-93.85322907,1.60313100,4.87669400
-93.84322907,1.60053700,4.86601200
-93.83322907,1.60313100,4.87669400
-93.82322907,1.60053700,4.88218800
-93.81322907,1.60053700,4.87669400
-93.80322907,1.60053700,4.86601200
-93.79322907,1.60313100,4.86082300
-93.78322907,1.60313100,4.86601200
-93.77322907,1.60053700,4.87150500
-93.76322907,1.60313100,4.86601200
-93.75322907,1.60313100,4.86082300
-93.74322907,1.60053700,4.86601200
-93.73322907,1.60053700,4.86082300
-93.72322907,1.60313100,4.86082300
-93.71322907,1.60313100,4.87150500
-93.70322907,1.60053700,4.86601200
-93.69322907,1.60313100,4.87150500
-93.68322907,1.60053700,4.86601200
-93.67322907,1.60313100,4.86082300
-93.66322907,1.60053700,4.87150500
-93.65322907,1.60587800,4.86601200
-93.64322907,1.60313100,4.86601200
-93.63322907,1.60053700,4.87669400
-93.62322907,1.60313100,4.87669400
-93.61322907,1.60313100,4.86601200
-93.60322907,1.60587800,4.86601200
-93.59322907,1.60053700,4.86082300
-93.58322907,1.60053700,4.86601200
-93.57322907,1.60053700,4.87150500
-93.56322907,1.60053700,4.86082300
-93.55322908,1.60053700,4.86601200
-93.54322908,1.60313100,4.86601200
-93.53322908,1.60313100,4.86082300
-93.52322908,1.60053700,4.87150500
-93.51322908,1.60053700,4.87150500
-93.50322908,1.60313100,4.87669400
-93.49322908,1.60053700,4.86601200
-93.48322908,1.60313100,4.88218800
-93.47322908,1.60053700,4.85532900
-93.46322908,1.60313100,4.87669400
-93.45322908,1.60053700,4.87150500
-93.44322908,1.60313100,4.87669400
-93.43322908,1.60313100,4.87150500
-93.42322908,1.60053700,4.85532900
-93.41322908,1.60053700,4.86601200
-93.40322908,1.60053700,4.84983500
-93.39322908,1.60053700,4.86601200
-93.38322908,1.60313100,4.87669400
-93.37322908,1.60313100,4.86601200
-93.36322908,1.60313100,4.87150500
-93.35322908,1.60313100,4.87669400
-93.34322908,1.60313100,4.87669400
-93.33322908,1.60313100,4.87150500
-93.32322908,1.60313100,4.86601200
-93.31322908,1.60313100,4.87150500
-93.30322908,1.60313100,4.86601200
-93.29322908,1.60313100,4.87150500
-93.28322908,1.60313100,4.87669400
-93.27322908,1.60313100,4.86601200
-93.26322908,1.60053700,4.87150500
-93.25322908,1.60053700,4.87669400
-93.24322908,1.60313100,4.87150500
-93.23322908,1.60313100,4.89287000
-93.22322908,1.60313100,4.87150500
-93.21322908,1.60053700,4.86601200
-93.20322908,1.60313100,4.87150500
-93.19322908,1.60313100,4.86601200
-93.18322908,1.60313100,4.86601200
-93.17322908,1.60053700,4.87150500
-93.16322908,1.60313100,4.88218800
-93.15322909,1.60053700,4.87669400
-93.14322909,1.60313100,4.86601200
-93.13322909,1.60313100,4.87669400
-93.12322909,1.60053700,4.87150500
-93.11322909,1.60313100,4.86601200
-93.10322909,1.60313100,4.87669400
-93.09322909,1.60313100,4.86601200
-93.08322909,1.60313100,4.87150500
-93.07322909,1.60053700,4.87150500
-93.06322909,1.60313100,4.87150500
-93.05322909,1.60313100,4.87150500
-93.04322909,1.60053700,4.86601200
-93.03322909,1.60313100,4.87150500
-93.02322909,1.60313100,4.87669400
-93.01322909,1.60313100,4.86601200
-93.00322909,1.60313100,4.87150500
-92.99322909,1.60313100,4.87150500
-92.98322909,1.60313100,4.88218800
-92.97322909,1.60053700,4.88218800
-92.96322909,1.60053700,4.87150500
-92.95322909,1.60053700,4.86601200
-92.94322909,1.60313100,4.87669400
-92.93322909,1.60313100,4.87150500
-92.92322909,1.60313100,4.86601200
-92.91322909,1.60053700,4.87669400
-92.90322909,1.60313100,4.87669400
-92.89322909,1.60313100,4.87669400
-92.88322909,1.60313100,4.86601200
-92.87322909,1.60313100,4.87150500
-92.86322909,1.60053700,4.87669400
-92.85322909,1.60313100,4.86082300
-92.84322909,1.60313100,4.86601200
-92.83322909,1.60313100,4.86601200
-92.82322909,1.60313100,4.86082300
-92.81322909,1.60587800,4.86082300
-92.80322909,1.60313100,4.88768100
-92.79322909,1.60053700,4.87150500
-92.78322909,1.60313100,4.86601200
-92.77322909,1.60313100,4.87150500
-92.76322909,1.60313100,4.87150500
-92.75322910,1.60053700,4.87150500
-92.74322910,1.60053700,4.87150500
-92.73322910,1.60053700,4.86082300
-92.72322910,1.60053700,4.87150500
-92.71322910,1.60053700,4.87150500
-92.70322910,1.60053700,4.86601200
-92.69322910,1.60313100,4.87669400
-92.68322910,1.60053700,4.86601200
-92.67322910,1.60053700,4.86601200
